Gen	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	t_n60	t_n61	t_n62	t_n63	t_n64	t_n65	t_n66	t_n67	t_n68	t_n69	t_n70	t_n71	t_n72	t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	mu1	mu2	mu3	mu4	mu5	sigma2_1	sigma2_2	sigma2_3	sigma2_4	sigma2_5	lnL
348	1.1346287	1.1135394	1.1077113	0.5937553	0.0647119	0.0452232	1.0677133	0.8896174	0.7197541	0.4189230	1.0240955	0.6107585	0.3034072	0.1885754	0.0140665	0.5065476	0.1064114	0.4154479	0.1947379	0.1571631	0.1028340	0.0525720	0.0262217	0.9680889	0.9261868	0.7100509	0.5469452	0.3739252	0.2478696	0.1365916	0.1282911	0.3492147	0.0989690	0.7244710	0.2562832	0.0042657	0.0914950	0.5416513	0.4613837	0.4164463	0.1684786	0.0419777	0.0332132	0.1376470	0.0762503	1.0029511	0.7832026	0.5368895	0.0960925	0.0855338	0.0129570	0.4209167	0.1135237	0.1849047	0.4159161	0.5039062	0.0329839	0.0994033	0.5958318	0.3292125	0.1518901	0.2537388	-693.629
354	1.1367674	1.1180796	1.1027745	0.5805341	0.0748404	0.0558254	1.1016892	1.0379920	0.9774753	0.4859876	1.0581574	0.5507597	0.2314559	0.1882395	0.0009009	0.4637113	0.0535318	0.4463859	0.2096065	0.1787088	0.1566510	0.0662819	0.0297599	0.9372615	0.8462622	0.6748119	0.4026370	0.3578762	0.2314883	0.1432631	0.1151713	0.5782187	0.1261207	0.5302898	0.3072081	0.2978722	0.0740658	0.5441518	0.4218474	0.3160478	0.1649056	0.0458966	0.0211570	0.1780917	0.1241869	0.9122309	0.6312356	0.4974135	0.1210398	0.0584876	0.0068711	0.4728130	0.1130020	0.1672566	0.4140049	0.5022215	0.0338968	0.1951710	0.5958318	0.3619685	0.1323628	0.1972270	-633.464
360	1.1295419	1.0848791	1.0791121	0.5793788	0.0693624	0.0553052	1.0688907	0.9654803	0.8039826	0.4819385	1.0518238	0.5461709	0.3418513	0.1191401	0.0014336	0.3989770	0.1023718	0.3526929	0.1643439	0.1495405	0.1460573	0.0633503	0.0149257	0.8254663	0.7961416	0.6074071	0.4155561	0.2827904	0.2170948	0.1394157	0.1164012	0.4924954	0.0821601	0.5258715	0.3123922	0.2737334	0.0721121	0.5657053	0.4867837	0.4378170	0.1635317	0.0604359	0.0171856	0.2875816	0.2312422	0.8786196	0.6663383	0.6088033	0.1912912	0.0495995	0.0127731	0.3967967	0.1053533	0.1693072	0.3616739	0.5591418	0.0367289	0.1951710	0.5920077	0.2578628	0.1703444	0.1972270	-628.539
366	1.1150960	1.1032410	1.0874271	0.5793788	0.0446492	0.0251725	1.0364606	0.9043815	0.8424779	0.3674326	1.0088514	0.5476642	0.2417410	0.1597021	0.0023450	0.4607910	0.1021809	0.4034710	0.2185727	0.1577278	0.1362238	0.0593534	0.0311605	0.7315419	0.7233926	0.5111216	0.4843126	0.4342567	0.2131336	0.1189515	0.1164012	0.2550657	0.0821601	0.5080748	0.2336009	0.2308795	0.0305460	0.5580238	0.5285443	0.3649254	0.2168790	0.0403655	0.0145805	0.2627476	0.1213321	0.9639749	0.2809977	0.4338810	0.1906551	0.0495995	0.0111774	0.3967967	0.1114609	0.1912697	0.3539228	0.5504029	0.0402633	0.2385923	0.7457463	0.3434955	0.1401373	0.1972270	-673.841
372	1.1188148	1.1132020	1.0843096	0.5793788	0.0402139	0.0351805	0.9908296	0.9322733	0.7976108	0.5098601	0.9117209	0.5476642	0.2417410	0.1470881	0.0046931	0.5181815	0.0748287	0.3773900	0.2569129	0.1744420	0.1046317	0.0617481	0.0376588	0.8271844	0.8091953	0.6409584	0.5175745	0.3757420	0.2443649	0.1399386	0.1164012	0.1768522	0.0352496	0.6192839	0.3726072	0.3015914	0.0670431	0.5580238	0.4429541	0.3687057	0.2168790	0.0268551	0.0190784	0.1590150	0.1215416	0.9898209	0.5835333	0.4930881	0.0993536	0.0696163	0.0049860	0.3967967	0.0993148	0.1796049	0.3733370	0.5886336	0.0375793	0.2753608	0.7457463	0.3657861	0.1108848	0.2098970	-591.517
378	1.1661524	1.0853961	1.0376189	0.5793788	0.0495905	0.0351805	0.9920548	0.9596407	0.9199610	0.3719277	0.9850040	0.5239534	0.3014967	0.1552156	0.0046931	0.4998488	0.0684863	0.3915231	0.2952116	0.2365806	0.1180736	0.0617481	0.0263819	0.8303210	0.8091953	0.6010342	0.5287986	0.4353171	0.1453285	0.0694214	0.0643579	0.1766196	0.0500802	0.5155188	0.3262697	0.1044008	0.0631595	0.5748157	0.5256165	0.4450966	0.2168790	0.0430034	0.0146280	0.1667623	0.1215416	0.8658670	0.3085704	0.6051685	0.1028313	0.0525782	0.0093897	0.3599283	0.0993148	0.1833558	0.3733370	0.5886336	0.0346688	0.1437336	0.5718794	0.3238092	0.0900248	0.1269460	-640.663
384	1.1010030	1.0899367	1.0321640	0.5785237	0.0499558	0.0419481	1.0257242	1.0167878	0.9267371	0.4111056	1.0114445	0.5458567	0.2262415	0.1868078	0.0047277	0.5022819	0.0453901	0.4042534	0.2544827	0.1976102	0.0935609	0.0454279	0.0283806	0.8395419	0.7700847	0.6064162	0.5660537	0.5057518	0.3407104	0.1180686	0.0912673	0.4473880	0.0738437	0.4123887	0.2727906	0.2506534	0.1024176	0.5773067	0.5234136	0.4851149	0.2211682	0.0538796	0.0204381	0.1577067	0.0606409	0.9052328	0.5222145	0.3994375	0.1689606	0.1322853	0.0004598	0.3625794	0.0964768	0.1664318	0.4199289	0.5139470	0.0350945	0.1826144	0.5339747	0.4241719	0.0801315	0.1269460	-665.805
390	1.1041988	1.0986528	1.0726715	0.5877171	0.0407387	0.0369273	1.0661386	0.8982909	0.8329339	0.3794337	1.0074898	0.5355845	0.2389042	0.1906294	0.0102720	0.4632811	0.0704112	0.2785101	0.1967123	0.1482822	0.1126214	0.0463573	0.0289612	0.8157133	0.7761560	0.5969165	0.5101751	0.4766917	0.2456964	0.1142444	0.0631644	0.2796921	0.0187586	0.5037357	0.3280935	0.0786528	0.1564937	0.6430084	0.5350273	0.4046176	0.3183644	0.0161336	0.0078189	0.1609329	0.1005367	0.7508497	0.5002593	0.3788519	0.1724170	0.1600670	0.0675333	0.3355326	0.0919810	0.2124840	0.4100203	0.5506966	0.0383159	0.1675630	0.5773294	0.3245776	0.0955129	0.1775137	-675.763
396	1.0754661	1.0454698	1.0395850	0.5769663	0.0449855	0.0277728	1.0120037	0.8658997	0.6987680	0.4041790	1.0009375	0.4598150	0.1827100	0.1019191	0.0102052	0.4319253	0.0877858	0.4210479	0.2683346	0.1792465	0.1184318	0.0858669	0.0287729	0.8542521	0.8238077	0.6274216	0.6192642	0.4968444	0.2998895	0.0846512	0.0380358	0.3350674	0.1651038	0.5388813	0.2767906	0.0839802	0.0416918	0.4864416	0.4145199	0.3174233	0.1628537	0.0150643	0.0077680	0.1479214	0.1040451	0.7824744	0.4970059	0.3763880	0.1566038	0.0943744	0.0044736	0.3333505	0.0975071	0.1680002	0.4127043	0.5543015	0.0330193	0.1961651	0.9328866	0.3975053	0.0700723	0.3344825	-618.464
402	1.0610806	1.0524615	1.0252936	0.5771167	0.0340767	0.0227751	1.0009826	0.8884069	0.6989501	0.4303656	0.9776184	0.5267557	0.2182678	0.1121622	0.0076360	0.3681051	0.1009903	0.3150499	0.1969123	0.1773086	0.1442957	0.0952541	0.0131501	0.8407956	0.8232966	0.6425216	0.5259855	0.4801571	0.2512761	0.1726177	0.0334654	0.6027603	0.1194980	0.5390218	0.2749446	0.1173257	0.0760075	0.5291473	0.4080379	0.3183204	0.2057163	0.0447182	0.0215418	0.1582844	0.1288823	1.0192670	0.9333169	0.4672621	0.1836344	0.1255782	0.0272547	0.3646777	0.1007929	0.1558786	0.3938986	0.5230152	0.0357699	0.1683959	0.7335478	0.3338762	0.0700723	0.3344825	-624.293
408	1.0710924	1.0486190	1.0339275	0.5807543	0.0694759	0.0556329	1.0118875	0.9281337	0.7982742	0.4001009	0.9747880	0.4841277	0.1612643	0.1108778	0.0076794	0.4105128	0.0895972	0.2676313	0.1812982	0.1587765	0.1292126	0.0922561	0.0160150	0.8425458	0.8279804	0.6885620	0.6491276	0.5028200	0.2759452	0.1292988	0.0985479	0.4315654	0.1201779	0.5910980	0.2512879	0.1370264	0.1265529	0.4881852	0.4199785	0.3678178	0.1276434	0.0437358	0.0143359	0.1591849	0.1296155	0.9609121	0.4177067	0.4670060	0.1740567	0.0848125	0.0183714	0.4375080	0.1063890	0.1685064	0.4262206	0.5111868	0.0341783	0.1293991	0.5787446	0.3418498	0.0771483	0.2232815	-659.856
414	1.0645297	1.0641917	1.0609060	0.5791134	0.0788419	0.0489241	1.0367093	1.0054009	0.7034646	0.4092137	1.0149406	0.4811615	0.2652090	0.2072309	0.0020837	0.3351912	0.0435869	0.2820903	0.1908492	0.1468996	0.1385208	0.0807521	0.0168900	0.7935926	0.7916629	0.5280399	0.4026971	0.2952686	0.2120234	0.1347621	0.1099801	0.3754847	0.1194415	0.5309664	0.3286065	0.1594950	0.0872756	0.4851940	0.4225858	0.3295125	0.2050790	0.0418066	0.0308020	0.2009364	0.1357876	0.8549235	0.6192938	0.4327202	0.1383076	0.0807855	0.0182589	0.3954567	0.1070449	0.1476044	0.4288482	0.5223596	0.0331910	0.1024271	0.5787446	0.2342146	0.0554609	0.2232815	-644.516
420	1.0822027	1.0780532	1.0495585	0.5791134	0.0601257	0.0240834	1.0462158	0.9300397	0.8496568	0.4092137	1.0282522	0.4988911	0.2730391	0.2072309	0.0020837	0.4101895	0.0961250	0.3130311	0.1567537	0.1307511	0.1013045	0.0770304	0.0168900	0.7849646	0.7726149	0.5629452	0.5415700	0.3761971	0.2971702	0.0450666	0.0362310	0.2242772	0.0633750	0.5716340	0.3631119	0.1594950	0.0872756	0.4851940	0.4021078	0.3301300	0.2002596	0.0324027	0.0185410	0.1960287	0.1233059	0.8846192	0.5487638	0.4706366	0.1755343	0.1178654	0.0044212	0.3741963	0.1114005	0.1220812	0.4288482	0.4968040	0.0330417	0.1326190	0.6965522	0.4020799	0.0554609	0.1789864	-702.597
