Gen	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	t_n60	t_n61	t_n62	t_n63	t_n64	t_n65	t_n66	t_n67	t_n68	t_n69	t_n70	t_n71	t_n72	t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	mu1	mu2	mu3	mu4	mu5	sigma2_1	sigma2_2	sigma2_3	sigma2_4	sigma2_5	lnL
8394	1.1748973	1.1625069	1.1575379	0.5821641	0.0564653	0.0262949	1.1397103	1.0761596	0.8501805	0.4420904	1.1149934	0.5040237	0.3071326	0.2886424	0.0121297	0.4124640	0.0539961	0.3805377	0.2043797	0.1412213	0.1189729	0.0727121	0.0218350	0.8933513	0.8589640	0.6028369	0.5580371	0.3582516	0.2161774	0.1491100	0.1051762	0.4520705	0.1934164	0.6072161	0.2141051	0.1607151	0.1002765	0.5423574	0.4435126	0.3191910	0.1436018	0.0436450	0.0031919	0.1174137	0.0676082	0.7223576	0.5713288	0.3007991	0.1032272	0.0638055	0.0048752	0.2663370	0.1088793	0.1508787	0.4817476	0.5274377	0.0350407	0.2149190	0.3184901	0.5167338	0.1724344	0.0401501	-644.227
8400	1.1676130	1.1242383	1.1129875	0.5785974	0.0609472	0.0415372	1.1031209	0.9577487	0.9027742	0.5023863	1.0220960	0.5497505	0.2898097	0.2870327	0.0055240	0.3848586	0.0796803	0.2560652	0.2015326	0.1671520	0.1231390	0.0815005	0.0174803	0.8516674	0.8363059	0.5708262	0.4993190	0.4298270	0.2377190	0.2072492	0.0806519	0.4901703	0.0706299	0.4537100	0.2640233	0.0857779	0.1060568	0.4810978	0.4766463	0.2075622	0.0874302	0.0300834	0.0264264	0.1017903	0.0294642	0.7455407	0.6606372	0.4157379	0.1036924	0.0520211	0.0112417	0.3860121	0.1128001	0.1410340	0.4650293	0.6277256	0.0327224	0.1759173	0.4578090	0.4189651	0.2329792	0.0401501	-632.021
8406	1.1938162	1.1685312	1.1614836	0.5782522	0.0616630	0.0229407	1.1127653	0.9768310	0.8633321	0.3755601	1.0059046	0.5240235	0.2398562	0.0850287	0.0002582	0.4164831	0.0751850	0.3034564	0.1922017	0.1703151	0.1418428	0.0626569	0.0273834	0.8523683	0.7685413	0.5634497	0.5059602	0.4716025	0.2718855	0.1002155	0.0750695	0.4959267	0.1370415	0.5008218	0.2912738	0.1649991	0.2038049	0.5616510	0.4303180	0.3947244	0.1400647	0.0813792	0.0314281	0.1356819	0.0469008	0.7542960	0.4278491	0.3910429	0.1842860	0.0951442	0.0048688	0.2444819	0.1100957	0.1184577	0.4515424	0.6695445	0.0323426	0.1976011	0.2146283	0.2487989	0.2506795	0.0319363	-717.065
8412	1.1404216	1.0725588	1.0632342	0.5763235	0.0406193	0.0342618	1.0501048	1.0101767	0.8739452	0.4768581	1.0426558	0.4748772	0.2348981	0.1087067	0.0075208	0.4742133	0.1201936	0.4199321	0.2550682	0.1746049	0.1297986	0.0724614	0.0161645	0.8518900	0.7680585	0.5807727	0.5504992	0.4684517	0.2197535	0.0547103	0.0459760	0.3861074	0.1939694	0.4701907	0.2851842	0.0715123	0.0383930	0.5485881	0.4660055	0.4034534	0.1490687	0.0680585	0.0389744	0.1963703	0.1290143	0.7635687	0.4892936	0.3958501	0.1804361	0.0331238	0.0018037	0.2441842	0.1114929	0.1387105	0.4534480	0.4948310	0.0306254	0.3592840	0.2382625	0.4306221	0.1293747	0.0408436	-662.306
8418	1.1353066	1.1035052	1.0981612	0.5778176	0.0772145	0.0479830	1.0823173	0.9804035	0.8578867	0.4161829	1.0622460	0.4538019	0.1884462	0.0919301	0.0078697	0.3931327	0.1204777	0.3663260	0.2199546	0.1938479	0.1241371	0.0997970	0.0402221	0.7990242	0.7486187	0.5473396	0.4991995	0.4016984	0.2312679	0.0886259	0.0651696	0.2924881	0.1944280	0.5161774	0.1527589	0.0786927	0.1008425	0.5782711	0.5280559	0.3614788	0.2024149	0.0297181	0.0110973	0.1968345	0.1513652	0.8253195	0.4721915	0.3576376	0.1446651	0.0167017	0.0050868	0.1499251	0.1192337	0.1404330	0.4586037	0.4888585	0.0322382	0.3010688	0.2402717	0.3565618	0.1235316	0.0463049	-685.014
8424	1.0947423	1.0916452	1.0776478	0.5791987	0.0766331	0.0567529	1.0717485	0.8644300	0.7715645	0.3368435	1.0322965	0.5513393	0.3567100	0.0864435	0.0066971	0.4056682	0.1005345	0.3466279	0.2129077	0.1861603	0.1513751	0.0594073	0.0200054	0.7790154	0.7404107	0.6637676	0.5829158	0.4592411	0.2631722	0.1199888	0.0946767	0.2852754	0.1040539	0.4153262	0.2170930	0.1310205	0.0554762	0.5914987	0.3991815	0.2582865	0.2008909	0.0446713	0.0334437	0.1561561	0.0801652	0.7976930	0.3341314	0.3549449	0.0910261	0.0400863	0.0035134	0.3224141	0.1250613	0.1414983	0.4092095	0.5351196	0.0324827	0.2462228	0.2895847	0.3565618	0.1903395	0.0375514	-692.905
8430	1.0811460	1.0703947	1.0485692	0.5780612	0.0726238	0.0421409	1.0470345	1.0130871	0.8655235	0.4358072	1.0343538	0.5794545	0.2399882	0.0862737	0.0058849	0.4525805	0.0776400	0.3990397	0.2213821	0.2017077	0.1609595	0.0592907	0.0214569	0.8301897	0.8135161	0.6468691	0.5382373	0.3423476	0.1747715	0.1101796	0.0944908	0.3047394	0.1599882	0.3616761	0.1788212	0.0637397	0.1449944	0.5129458	0.4110700	0.3136527	0.0962630	0.0329756	0.0106976	0.1558494	0.1059572	0.8599046	0.6534583	0.4586514	0.1551314	0.0931126	0.0088929	0.4193000	0.1253074	0.1417768	0.4100147	0.5287732	0.0325466	0.2059029	0.2895847	0.3565618	0.1533505	0.0399192	-615.526
8436	1.0794919	1.0704694	1.0532451	0.5854376	0.0807311	0.0528363	1.0265763	0.9171272	0.7871333	0.4220794	0.9522192	0.5295487	0.1768742	0.1460012	0.0062615	0.4254300	0.0597814	0.3820594	0.2117680	0.1420561	0.0957704	0.0531194	0.0129798	0.8340099	0.7927170	0.6478751	0.5967189	0.4133172	0.2092168	0.1475707	0.0651862	0.5437797	0.2081071	0.4492722	0.3236077	0.2914411	0.0712279	0.4775600	0.3648597	0.2661693	0.1338802	0.0197765	0.0074829	0.1060547	0.0563776	0.7511984	0.6103467	0.4468271	0.1669629	0.0915236	0.0013371	0.4079203	0.1196921	0.1565924	0.4099182	0.5680320	0.0327829	0.1581302	0.3506070	0.3477657	0.1533505	0.0399192	-618.351
8442	1.1292704	1.1184052	1.0858476	0.5808255	0.0723753	0.0378827	1.0153316	0.9984151	0.8857079	0.4220794	0.9871270	0.4590311	0.2485544	0.1460012	0.0062615	0.4090795	0.0544061	0.2556231	0.2304308	0.1662036	0.1075216	0.0525629	0.0091520	0.7723698	0.7543552	0.6384870	0.4905272	0.4723307	0.3096686	0.1710408	0.0831383	0.2485266	0.1695716	0.4492722	0.2432930	0.2010445	0.1557725	0.5092658	0.4319035	0.3092680	0.1920389	0.0483925	0.0328207	0.2135210	0.0316189	0.9080526	0.5970020	0.4468271	0.1041589	0.0637113	0.0002142	0.3292613	0.1070858	0.1485625	0.4858714	0.5986747	0.0325668	0.1354382	0.4387496	0.4152915	0.1220752	0.0399192	-611.735
8448	1.1177648	1.1036238	1.0571792	0.5818076	0.0536717	0.0100754	1.0417122	1.0245690	0.8801468	0.4820874	0.9585270	0.5014972	0.2380969	0.1948918	0.0072569	0.3235120	0.0702710	0.2870043	0.1897250	0.1678683	0.1304788	0.0525588	0.0171184	0.7346846	0.7157756	0.5793121	0.5140879	0.4633245	0.2731409	0.1256911	0.0243221	0.4314019	0.1992406	0.5395201	0.2841812	0.1600294	0.1231277	0.5853943	0.3420005	0.1610831	0.0884932	0.0535331	0.0486993	0.1444885	0.1129524	0.8025338	0.6208157	0.3220183	0.1058847	0.0616159	0.0029011	0.3042735	0.1077624	0.1679854	0.4894559	0.5725970	0.0310697	0.1667490	0.4458748	0.5173903	0.1222488	0.0530715	-674.014
8454	1.1554834	1.1178635	1.1134773	0.5788120	0.0519713	0.0378916	1.0395392	1.0377831	0.9244820	0.4820874	0.9323667	0.4046354	0.2420460	0.1557248	0.0034103	0.3151696	0.0702710	0.2721360	0.1848803	0.1618399	0.1294855	0.0976151	0.0246718	0.7456042	0.7052580	0.4803148	0.4597672	0.4235457	0.2993556	0.1268559	0.0718377	0.3714759	0.1077017	0.4120313	0.2578865	0.1609877	0.1231277	0.4469873	0.3900890	0.3054663	0.1249307	0.0710393	0.0167727	0.1534324	0.1233260	0.7124417	0.5571050	0.3138866	0.0866462	0.0642646	0.0199265	0.3042735	0.1022600	0.1524964	0.5733293	0.5393248	0.0317483	0.1914558	0.4027719	0.5009817	0.1699398	0.0489232	-641.294
8460	1.1298159	1.1198782	1.0871398	0.5775089	0.0441831	0.0214505	1.0495557	1.0131717	0.8789718	0.4811309	0.9951162	0.5164761	0.2396438	0.1554158	0.0073100	0.3704552	0.0923289	0.2961725	0.2572498	0.1774480	0.1216121	0.0771496	0.0191324	0.7392039	0.6844886	0.5950427	0.5110733	0.3785135	0.3428961	0.1371362	0.0668456	0.4524338	0.1074880	0.4773961	0.3398115	0.1571357	0.2491248	0.4910475	0.3928197	0.3421760	0.1459635	0.0725636	0.0167394	0.1644258	0.0870896	0.7455725	0.6209711	0.3132638	0.0864743	0.0461319	0.0066794	0.2708082	0.1293975	0.1258272	0.4496959	0.5218113	0.0318114	0.1628515	0.3371204	0.5899890	0.1432486	0.0644835	-674.816
8466	1.1199315	1.1075766	1.0450898	0.5799953	0.0465088	0.0441133	1.0217749	0.9917338	0.8784223	0.4426950	0.9913101	0.4589330	0.2404921	0.1699874	0.0014101	0.4142442	0.0922712	0.3638548	0.2686802	0.1699363	0.1614346	0.0739645	0.0191204	0.7295856	0.6675908	0.5434213	0.5284776	0.3437402	0.3166423	0.2175067	0.0347100	0.2365013	0.0695656	0.4124278	0.2117800	0.0957145	0.0819332	0.5093930	0.4701328	0.4405888	0.2442322	0.0256970	0.0237884	0.1236308	0.0812795	0.7451064	0.6593364	0.3175721	0.0777058	0.0722176	0.0049320	0.2418437	0.1197026	0.1428949	0.4499771	0.6137650	0.0296544	0.1049229	0.3122286	0.5557712	0.1564073	0.0644835	-621.925
8472	1.0817188	1.0487988	1.0087003	0.5782904	0.0504207	0.0225972	1.0054163	0.8040696	0.6829290	0.4413937	0.9214216	0.4360526	0.2094687	0.1294414	0.0010315	0.3709483	0.1001937	0.3331962	0.2322242	0.1977695	0.1814773	0.1220991	0.0192762	0.7594020	0.7401376	0.5603785	0.4488413	0.3420160	0.2099214	0.0669913	0.0557022	0.4452023	0.1421550	0.4844773	0.2828303	0.2159349	0.0948162	0.5698184	0.4707037	0.4392937	0.1229639	0.0498088	0.0283626	0.1232674	0.1104911	0.7225250	0.5068380	0.3792530	0.1755245	0.0791482	0.0293972	0.2141533	0.1134922	0.1433162	0.4513037	0.6321089	0.0305409	0.0953848	0.2102289	0.4785079	0.2920112	0.0644118	-690.014
8478	1.0649088	1.0647052	1.0444197	0.5801601	0.0226313	0.0191576	1.0000450	0.8014818	0.5828437	0.4506480	0.9478180	0.5534720	0.2393167	0.1829300	0.0031303	0.4637081	0.0648457	0.3997032	0.1736942	0.1360649	0.1235324	0.0455357	0.0252861	0.7894977	0.7319582	0.5467135	0.4788831	0.4723636	0.1753086	0.1526641	0.0980375	0.4348366	0.0928815	0.5186686	0.3258097	0.1802971	0.1748535	0.5019947	0.3849361	0.2247471	0.1277016	0.0556655	0.0305553	0.1236659	0.0945858	0.5251389	0.4212525	0.3473035	0.1153018	0.0684292	0.0087194	0.2007057	0.1131264	0.1428543	0.5579308	0.5806519	0.0304425	0.0822151	0.2102289	0.4785079	0.2303400	0.0596676	-772.555
8484	1.0390106	1.0158941	1.0016754	0.5782288	0.0401455	0.0230846	0.9802902	0.8439489	0.6208421	0.4881779	0.9335412	0.5302401	0.2167188	0.1000752	0.0005137	0.4670091	0.0565970	0.3810107	0.2214954	0.2075926	0.1066609	0.0460754	0.0252861	0.8015546	0.7562968	0.5552633	0.4945179	0.4135059	0.2970526	0.1834620	0.1379884	0.3976844	0.2233949	0.5636462	0.3185825	0.2383447	0.1748535	0.5915163	0.3676638	0.1872499	0.1277016	0.0442705	0.0029838	0.1460141	0.1342181	0.5706509	0.1847640	0.2829586	0.0796947	0.0408548	0.0254312	0.2119097	0.1131264	0.1428543	0.5579308	0.7035426	0.0334540	0.0822151	0.1540774	0.6486453	0.2303400	0.0599494	-691.710
8490	1.0084066	0.9974372	0.9817385	0.5880140	0.0326434	0.0232590	0.9493511	0.8532545	0.7365274	0.5526093	0.9172102	0.5342470	0.2183565	0.1008314	0.0053545	0.4288930	0.0731963	0.3831609	0.2268553	0.1763482	0.1437242	0.0461579	0.0174332	0.7864656	0.7620120	0.5686619	0.5128422	0.4430006	0.3278882	0.0875851	0.0794488	0.3513296	0.0919837	0.5025028	0.3458303	0.3349906	0.1971566	0.5794901	0.4067328	0.2785417	0.1321321	0.0168066	0.0032928	0.2679912	0.1050695	0.7852605	0.4959774	0.2850969	0.1321337	0.0289979	0.0096794	0.2265059	0.1122780	0.1695731	0.6622370	0.6641432	0.0297177	0.0829692	0.2625248	1.1832331	0.1861273	0.0599494	-591.340
8496	1.0283398	1.0221378	1.0075833	0.5790882	0.0227272	0.0169584	0.9898399	0.8084746	0.6796363	0.5083487	0.9137392	0.5341026	0.2175301	0.0848727	0.0238974	0.4542338	0.0933606	0.3617810	0.2914292	0.1621821	0.1361655	0.0459832	0.0105380	0.8037529	0.7987878	0.5959958	0.5242790	0.4250278	0.3266473	0.1519500	0.1296889	0.1559332	0.0613969	0.5006011	0.2590225	0.0582723	0.1552608	0.5730709	0.3903673	0.3397479	0.1244790	0.0133986	0.0062298	0.2176725	0.1195791	0.7822889	0.6502300	0.3204453	0.0627801	0.0511197	0.0169332	0.1605770	0.1127045	0.1702173	0.5692084	0.6264778	0.0301759	0.0663424	0.3020269	0.9844085	0.1861273	0.0785618	-611.827
8502	1.0155150	1.0150751	0.9714273	0.5780043	0.0433244	0.0329450	0.9134580	0.7700296	0.6184717	0.4483718	0.8975243	0.5317771	0.2355838	0.1126449	0.0050725	0.4482304	0.1408449	0.3349101	0.2361821	0.1485318	0.1257064	0.0454098	0.0408759	0.7335031	0.6715715	0.5222351	0.4661112	0.3521899	0.2537621	0.1571380	0.1441951	0.3214625	0.0606312	0.3629836	0.2234597	0.2151273	0.1533245	0.4936367	0.3613383	0.2268646	0.0815961	0.0463683	0.0282523	0.1570537	0.1180878	0.8218027	0.5208121	0.3867698	0.1632755	0.1023981	0.0001628	0.3219847	0.1141278	0.1490098	0.4700948	0.5744321	0.0313423	0.0754127	0.3075691	0.6137764	0.3063707	0.0982307	-646.752
8508	1.0507895	0.9909777	0.9597657	0.5800325	0.0428075	0.0353877	0.8870694	0.8197038	0.6755107	0.5261553	0.8380761	0.5317771	0.3281502	0.1126449	0.0053865	0.3609519	0.0926121	0.3365514	0.2435286	0.1519032	0.1152916	0.0903701	0.0184226	0.7335031	0.6921729	0.4724878	0.3675346	0.3544631	0.2322867	0.1907637	0.1290207	0.2810771	0.0606312	0.4066375	0.2101543	0.1771002	0.0879905	0.4823693	0.4317981	0.2857815	0.1112448	0.0653932	0.0281587	0.1822090	0.1017252	0.8218027	0.7501490	0.3795748	0.2637278	0.1189577	0.0249967	0.3428409	0.1238571	0.1637975	0.4907360	0.5083137	0.0324816	0.0890397	0.2770344	0.6496622	0.2935638	0.1502958	-717.170
8514	0.9883990	0.9748358	0.9427567	0.5800325	0.0316137	0.0227306	0.9064856	0.8004032	0.4210788	0.4512611	0.8960899	0.5241117	0.1860614	0.1101851	0.0053865	0.3936771	0.0671233	0.3452988	0.2331101	0.1957492	0.1210337	0.0781844	0.0203593	0.7335031	0.6878114	0.5259411	0.4329219	0.3414308	0.2040896	0.1044871	0.0635732	0.4759180	0.0606312	0.4066375	0.2615295	0.2219723	0.1242712	0.4341078	0.3713187	0.3607569	0.0968729	0.0384242	0.0337498	0.1686784	0.0473780	0.8579573	0.7399137	0.3972295	0.1651464	0.0323453	0.0043796	0.3715134	0.1238571	0.1675510	0.4893537	0.5278728	0.0309574	0.1049958	0.2281244	0.9077237	0.1993588	0.1788346	-651.389
8520	0.9598011	0.9571281	0.9390148	0.5806826	0.0243015	0.0208439	0.9332188	0.7595200	0.5955209	0.4642973	0.9019036	0.4592263	0.2014363	0.1328573	0.0001120	0.4288813	0.0932467	0.3804582	0.2511856	0.2057765	0.1477834	0.0933818	0.0203259	0.7322994	0.6832206	0.4986286	0.4043966	0.3652966	0.2592366	0.2055680	0.0724576	0.4215184	0.1294530	0.4596943	0.2917992	0.1339400	0.0595827	0.4089135	0.3671661	0.2190443	0.1459144	0.0438758	0.0112238	0.1098736	0.0579315	0.7935267	0.7386995	0.3524329	0.1648754	0.0380859	0.0102856	0.3148165	0.1240607	0.1746456	0.5409872	0.5567055	0.0310082	0.0735513	0.4043570	0.6957590	0.2302578	0.1454506	-667.038
8526	0.9598011	0.9418278	0.9168129	0.5784125	0.0349087	0.0236073	0.8978443	0.7257262	0.6328767	0.4470064	0.8805174	0.5021627	0.2698592	0.1161623	0.0025771	0.4076414	0.0547249	0.3777149	0.3016455	0.1627903	0.1515778	0.0899905	0.0203259	0.7322994	0.6449166	0.4967595	0.4861097	0.3430317	0.2106939	0.0817440	0.0724576	0.3820601	0.1605076	0.4779905	0.2873710	0.1013516	0.0595827	0.3820818	0.3662396	0.3497098	0.1017119	0.0236714	0.0085832	0.1191094	0.0869621	0.8676684	0.5601160	0.3033714	0.0816404	0.0448018	0.0055939	0.1314239	0.1159439	0.1951954	0.5102124	0.6306676	0.0334517	0.0734209	0.4043570	0.7881867	0.3248032	0.1763692	-650.458
8532	0.9473346	0.9090939	0.8900996	0.5797089	0.0499815	0.0287233	0.8880753	0.8059306	0.6542729	0.3914238	0.8364462	0.4654968	0.2571183	0.1827976	0.0105265	0.4192196	0.0987756	0.3205772	0.2388055	0.1620730	0.1417568	0.0882479	0.0153417	0.7322994	0.6812657	0.4606538	0.3086882	0.2939668	0.2195066	0.1505094	0.1028400	0.3750016	0.0606049	0.4716380	0.3942315	0.0194101	0.0371474	0.3820818	0.3502674	0.2844369	0.1017119	0.0289446	0.0125587	0.1426828	0.0276001	0.6620413	0.5890952	0.2575979	0.0606714	0.0071139	0.0018972	0.2084127	0.1073372	0.1944763	0.5102124	0.6306676	0.0332587	0.0558586	0.4043570	0.7881867	0.3248032	0.1151195	-672.713
8538	0.9458660	0.9113775	0.9091705	0.5817919	0.0447641	0.0359964	0.8579803	0.7583592	0.6747573	0.3944961	0.8303433	0.4845090	0.2608648	0.1269564	0.0105644	0.3578918	0.0991305	0.3384737	0.2120577	0.1806114	0.1262710	0.0521035	0.0339558	0.7349307	0.6693531	0.4457412	0.4272805	0.3087846	0.2176681	0.1808586	0.1624913	0.3615960	0.1811299	0.4464471	0.2764418	0.1090862	0.1531230	0.4623415	0.3571313	0.2175395	0.1422156	0.0465765	0.0092355	0.0588710	0.0356754	0.7628261	0.5198965	0.2167379	0.0608894	0.0182332	0.0081297	0.2065185	0.1069529	0.2082356	0.5344137	0.5728058	0.0331396	0.0491900	0.5360750	0.3892995	0.3248032	0.1303215	-678.212
8544	0.9576092	0.8948308	0.8737764	0.5811447	0.0784738	0.0220594	0.8555348	0.8157255	0.7023383	0.4285927	0.8406522	0.4550603	0.2239971	0.1838295	0.0018821	0.3532126	0.0406444	0.3033780	0.1846156	0.1484209	0.1232607	0.0527503	0.0070812	0.7361163	0.7185737	0.5076299	0.4697474	0.4220426	0.2699684	0.1843734	0.1645086	0.2359388	0.1264448	0.4269486	0.2091307	0.1380246	0.0839296	0.4163881	0.3115562	0.2917668	0.0860025	0.0116530	0.0016980	0.0677390	0.0388794	0.6738775	0.5679438	0.3609670	0.1265877	0.0532802	0.0089399	0.2090825	0.1056413	0.2056820	0.5796430	0.6146832	0.0332929	0.0453771	0.4356713	0.4961765	0.3711710	0.2111316	-675.765
8550	0.9261042	0.9195271	0.8795045	0.5783356	0.0658314	0.0522924	0.8778779	0.7683741	0.7173678	0.5225527	0.8356332	0.4523434	0.3503543	0.1402514	0.0018708	0.3842071	0.0754218	0.2859000	0.1887085	0.1493657	0.1309938	0.0670818	0.0483843	0.7317213	0.7039160	0.5215221	0.4900840	0.3030306	0.2066808	0.1697297	0.1635264	0.1310547	0.0875666	0.4655915	0.1841239	0.1491648	0.0898471	0.5786028	0.3340097	0.2477348	0.1277599	0.0883664	0.0058458	0.0637471	0.0162036	0.6363306	0.1988639	0.3588119	0.1258320	0.1002830	0.0323427	0.3367643	0.1062758	0.1629700	0.5631761	0.6085024	0.0313747	0.0453486	0.5854104	0.6194005	0.3469998	0.2111316	-720.756
8556	0.9862120	0.9633341	0.8837145	0.5779948	0.0680347	0.0311220	0.8721280	0.8584993	0.7173678	0.4330323	0.8599702	0.4842280	0.1921895	0.1096859	0.0043224	0.3987761	0.0272950	0.2669079	0.2394659	0.1591655	0.1092942	0.0670818	0.0400136	0.7396809	0.7039160	0.5688094	0.4235864	0.2921744	0.2036407	0.1106483	0.1004834	0.3998767	0.1462313	0.4692371	0.2313738	0.0984388	0.1699154	0.3340904	0.2943093	0.2235446	0.1182646	0.0424071	0.0245016	0.1017944	0.0859483	0.6363306	0.2608266	0.3263363	0.0658911	0.0360891	0.0008945	0.2438606	0.1130810	0.1923602	0.5423159	0.5989206	0.0368699	0.0440033	0.7637868	0.7606002	0.2772673	0.2727099	-626.411
8562	0.9578729	0.9425202	0.9356400	0.5776539	0.0243193	0.0177810	0.9161380	0.8234272	0.7227706	0.5530275	0.8989189	0.4878750	0.2630963	0.1851807	0.0031505	0.4257713	0.0411598	0.3736770	0.2601562	0.1904980	0.1794655	0.0653557	0.0318013	0.7306287	0.6344554	0.4802774	0.4265132	0.3003459	0.2212312	0.1584981	0.0759638	0.3784023	0.0546100	0.5090929	0.2317397	0.0655325	0.0884386	0.4409912	0.2639703	0.2229201	0.0652789	0.0337492	0.0134131	0.1159772	0.0955879	0.4890195	0.1284351	0.3287941	0.1822609	0.1221055	0.0312084	0.2855761	0.1122357	0.2192358	0.5331962	0.6076180	0.0409814	0.0673270	0.7637868	0.7892610	0.2873661	0.2240023	-610.957
8568	0.9688307	0.9419427	0.8726179	0.5784179	0.0692327	0.0270764	0.8619704	0.7812171	0.6317824	0.4537848	0.8491066	0.4743319	0.2990521	0.2011624	0.0050721	0.3839996	0.0562550	0.2911661	0.2195203	0.1929722	0.1194716	0.0937920	0.0147539	0.7315951	0.6352947	0.4809126	0.3719002	0.3498422	0.2611956	0.1485150	0.1071145	0.3534671	0.0723478	0.5139766	0.2320463	0.1538999	0.0885556	0.5482819	0.3713065	0.2509683	0.0839270	0.0162436	0.0134308	0.1362251	0.0957144	0.6960394	0.1286050	0.3254404	0.1295896	0.0575980	0.0051358	0.2689858	0.1120875	0.1950969	0.4483789	0.6636255	0.0359332	0.0593490	0.5674147	0.4435964	0.3294416	0.2240023	-618.924
8574	0.9471154	0.9062319	0.8973648	0.5783430	0.0692237	0.0405560	0.8726962	0.7027761	0.5826051	0.3715063	0.8489966	0.5645825	0.1838010	0.1604867	0.0021969	0.3853542	0.0562477	0.2574223	0.2045856	0.1961865	0.1446035	0.1355390	0.0221698	0.7291215	0.7050688	0.4974887	0.4055779	0.3061649	0.2376947	0.1708929	0.1253946	0.3534213	0.0835797	0.5158535	0.2227177	0.1538799	0.1478153	0.5485494	0.4185333	0.3428547	0.1996640	0.0586232	0.0244945	0.1856710	0.0957019	0.6664653	0.1848609	0.3714720	0.1209622	0.0887323	0.0348706	0.2434124	0.1121020	0.1435702	0.4484371	0.6345030	0.0318356	0.0634074	0.4795047	0.4809885	0.2535507	0.3711641	-686.672
8580	1.0611468	1.0034134	0.9081764	0.5825481	0.0798472	0.0435054	0.8626413	0.8512969	0.6810391	0.3991691	0.8540086	0.5028478	0.2015250	0.1266748	0.0134931	0.4327600	0.0537606	0.3360546	0.3036493	0.1716209	0.1218093	0.0821389	0.0223007	0.7243170	0.7092311	0.4712356	0.4138994	0.3493031	0.2043136	0.1376639	0.1261349	0.3356390	0.0840731	0.5212248	0.3981267	0.2382468	0.1668226	0.4776668	0.4250886	0.3206066	0.2008427	0.0678661	0.0093972	0.1643176	0.0987753	0.6703997	0.2767645	0.2492280	0.1073540	0.0751099	0.0122735	0.2423281	0.1094986	0.1359509	0.5259448	0.5855201	0.0373471	0.0589752	0.5226913	0.6717243	0.2898085	0.3711641	-641.987
8586	0.9800606	0.9318755	0.9214098	0.5782628	0.0800749	0.0694615	0.9124403	0.8088185	0.7860969	0.4003076	0.8697313	0.5042821	0.2117689	0.1317013	0.0029374	0.3997640	0.1044054	0.3504091	0.2361150	0.1787762	0.1521453	0.0981881	0.0127626	0.7263829	0.7136873	0.4723264	0.3500295	0.2341054	0.1773813	0.1448194	0.0982821	0.1703095	0.0782785	0.4576403	0.2675994	0.1093070	0.1553769	0.4672448	0.4181048	0.3311472	0.0944519	0.0514345	0.0251990	0.1934404	0.1462000	0.7460042	0.4342841	0.3312424	0.1480083	0.0753242	0.0005384	0.3296776	0.1091872	0.1475156	0.5279638	0.6275024	0.0413128	0.0559436	0.5073158	0.6743330	0.2849291	0.4802419	-650.057
8592	0.9535325	0.9507645	0.9078751	0.5946981	0.0895789	0.0473818	0.8752969	0.7679290	0.7120617	0.4531154	0.8520917	0.5101073	0.2313989	0.1789368	0.0029846	0.3733648	0.0715132	0.2910378	0.2036662	0.1544300	0.1139064	0.0643236	0.0277814	0.7349868	0.6974975	0.4896552	0.4271153	0.2856779	0.2620155	0.1613993	0.1331703	0.3997211	0.0795351	0.4530100	0.2741064	0.0829468	0.0958408	0.5113898	0.4881854	0.3966624	0.1210023	0.0509177	0.0005001	0.2051916	0.1979439	0.8047271	0.6186635	0.4403745	0.1138772	0.1110705	0.0172831	0.3349697	0.1074622	0.1368868	0.4875153	0.5972309	0.0416783	0.0545768	0.5073158	0.5853665	0.4348994	0.4767619	-674.180
8598	1.0063690	0.9571024	0.9132707	0.5921931	0.0395703	0.0347882	0.9034793	0.8518536	0.7380654	0.3534615	0.8853147	0.4748308	0.2303215	0.1796900	0.0149572	0.4042870	0.0742632	0.2684379	0.1725766	0.1567011	0.1556820	0.0775670	0.0278984	0.7281726	0.6816253	0.5536086	0.4815936	0.4151165	0.3429942	0.2390954	0.2318483	0.2259873	0.0984977	0.4850697	0.3397550	0.2310282	0.1335587	0.4561742	0.4459773	0.3259266	0.1215116	0.0511320	0.0038748	0.2159575	0.1987771	0.7265156	0.5568551	0.3794664	0.1443032	0.1282112	0.0307716	0.3363796	0.1070117	0.1533637	0.4237840	0.6948332	0.0456266	0.0743886	0.4207256	0.7452953	0.2725043	0.4767619	-603.937
